                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77568,                 0.7822,                 1.2149,                0.69983,                0.67883,                0.70277,                0.36322,                 1.5154,                 1.7194,                 1.9562,               0.000911,               0.000911,               0.000911
                     36,                0.70435,                 0.6941,                 1.1323,                0.65396,                0.55026,                0.62118,                 0.3621,                  1.336,                 1.7617,                 1.5939,               0.000878,               0.000878,               0.000878
                     37,                0.65153,                0.67503,                  1.124,                0.71715,                0.40506,                0.50029,                0.27896,                 1.5439,                 2.1727,                 1.9589,               0.000845,               0.000845,               0.000845
                     38,                0.66804,                 0.6664,                 1.1333,                0.78884,                0.62025,                0.70886,                0.45284,                 1.1794,                 1.4671,                  1.539,               0.000812,               0.000812,               0.000812
                     39,                0.70688,                0.71328,                 1.2046,                0.69458,                0.75949,                0.79181,                0.57485,                0.94873,                 1.0601,                 1.2956,               0.000779,               0.000779,               0.000779
                     40,                 0.6761,                0.70321,                 1.1244,                0.84439,                0.77215,                0.89967,                0.62925,                 1.0003,                0.89664,                 1.3229,               0.000746,               0.000746,               0.000746
                     41,                0.67976,                0.70921,                 1.1065,                0.74933,                0.78481,                0.81144,                0.59714,                 1.0415,                0.97412,                 1.3321,               0.000713,               0.000713,               0.000713
                     42,                0.57872,                 0.5682,                 1.1078,                0.81126,                0.76174,                0.84491,                0.66633,                0.88733,                0.95127,                 1.1768,                0.00068,                0.00068,                0.00068
                     43,                0.65032,                0.63327,                 1.1111,                0.78793,                0.82278,                0.86043,                 0.6416,                 0.9599,                0.94284,                 1.2361,               0.000647,               0.000647,               0.000647
                     44,                0.67252,                0.62741,                 1.1664,                0.80803,                0.74684,                0.83075,                0.61817,                0.92542,                 1.0067,                 1.2083,               0.000614,               0.000614,               0.000614
                     45,                0.63581,                0.63479,                 1.1027,                0.82337,                0.74684,                0.81607,                 0.5608,                 1.0474,                 1.0543,                 1.2801,               0.000581,               0.000581,               0.000581
                     46,                0.62933,                 0.6449,                 1.0863,                0.83732,                0.81013,                0.89903,                0.62122,                0.96431,                0.90406,                 1.1833,               0.000548,               0.000548,               0.000548
                     47,                0.66522,                0.61175,                 1.1198,                0.95435,                0.81013,                 0.9268,                0.71865,                0.84664,                0.74856,                 1.1004,               0.000515,               0.000515,               0.000515
                     48,                0.59198,                0.57309,                 1.0895,                0.92147,                 0.8912,                0.93773,                0.71324,                0.87089,                0.69513,                 1.1284,               0.000482,               0.000482,               0.000482
                     49,                0.60182,                0.55918,                 1.0991,                0.92034,                0.87749,                0.94019,                0.71651,                0.83412,                 0.6915,                 1.1157,               0.000449,               0.000449,               0.000449
